Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
282,ADV POWDER TECHNOL,0921-8831,887,1.65,1.51,0.22,127,3.5,0.00262,0.383
283,ADV PROTEIN CHEM STR,1876-1623,169,3.128,2.875,0.966,29,1.8,0.00102,1.213
284,ADV QUANTUM CHEM,0065-3276,869,2.161,1.694,0.308,13,>10.0,0.0013,0.598
285,ADV ROBOTICS,0169-1864,744,0.51,0.746,0.12,100,5.9,0.00211,0.245
286,ADV SKIN WOUND CARE,1527-7941,702,1.5,,0.186,43,5.8,0.00157,
287,ADV SPACE RES,0273-1177,7209,1.183,1.121,0.288,326,7.7,0.0171,0.432
288,ADV STEEL CONSTR,1816-112X,98,0.661,,0.12,25,,0.00057,
289,ADV STRUCT ENG,1369-4332,383,0.489,0.651,0.076,158,5.2,0.00177,0.301
290,ADV STUD BEHAV,0065-3454,1119,3.182,6.111,0.429,7,>10.0,0.00213,2.254
291,ADV SYNTH CATAL,1615-4150,15502,5.535,5.323,1.109,404,4.4,0.04405,1.352
292,ADV THEOR MATH PHYS,1095-0761,2139,1.066,1.64,0,20,>10.0,0.00298,0.971
293,ADV THER,0741-238X,1333,2.125,1.705,0.37,81,4.4,0.00413,0.449
294,ADV VIB ENG,0972-5768,56,0.197,,0,35,,0.0002,
295,ADV VIRUS RES,0065-3527,1401,2.844,3.955,0.588,34,9.4,0.00226,1.464
296,ADV WATER RESOUR,0309-1708,5285,2.412,3.03,1.121,149,6.5,0.01473,1.163
297,AEOLIAN RES,1875-9637,195,2.52,2.897,0.692,39,2.1,0.00124,1.22
298,AEQUATIONES MATH,0001-9054,633,0.422,,0.233,43,>10.0,0.001,
299,AEROBIOLOGIA,0393-5965,865,1.333,1.612,0.22,50,9.2,0.00113,0.424
300,AERONAUT J,0001-9240,502,0.311,0.469,0.015,65,8.6,0.00142,0.239
301,AEROSOL SCI TECH,0278-6826,4808,2.78,2.808,0.768,125,8.2,0.01008,1.03
302,AEROSP SCI TECHNOL,1270-9638,918,0.873,1.022,0.139,108,6.9,0.00256,0.456
303,AEROSPACE AM,0740-722X,63,0.048,0.048,0.008,119,,0.00016,0.023
304,AESTHET PLAST SURG,0364-216X,2490,1.264,1.725,0.134,202,7,0.00573,0.499
305,AESTHET SURG J,1090-820X,1113,1.564,,0.488,84,4.2,0.00387,
306,AEU-INT J ELECTRON C,1434-8411,697,0.551,0.64,0.128,156,4.6,0.00179,0.157
307,AFINIDAD,0001-9704,169,0.145,0.219,0,30,7.2,0.00027,0.049
308,AFR ENTOMOL,1021-3589,326,0.969,0.785,0.038,52,5.9,0.00085,0.233
309,AFR HEALTH SCI,1680-6905,435,0.5,,0.472,36,5.1,0.00126,
310,AFR INVERTEBR,1681-5556,142,0.739,0.838,0.108,37,5.4,0.0006,0.294
311,AFR J AQUAT SCI,1608-5914,200,0.446,,0,37,6,0.00037,
312,AFR J ECOL,0141-6707,1454,0.631,0.869,0.07,57,8.6,0.00285,0.276
313,AFR J HERPETOL,2156-4574,93,0.815,0.646,0,11,,0.00023,0.199
314,AFR J MAR SCI,1814-232X,539,0.932,1.202,0.07,57,5.4,0.00156,0.358
315,AFR J PSYCHIATRY,1994-8220,142,0.871,,0.415,41,2.8,0.00042,
316,AFR J RANGE FOR SCI,1022-0119,224,0.432,,0.143,14,8.4,0.00037,
317,AFR J TRADIT COMPLEM,0189-6016,337,0.518,0.837,0.071,85,4.5,0.00084,0.154
318,AFR NAT HIST,1816-8396,22,0.111,,,,,0.00008,
319,AFR ZOOL,1562-7020,285,0.746,0.981,0,17,5.7,0.0009,0.323
320,AGE,0161-9152,1120,4.084,4.321,0.91,122,3.5,0.00453,1.624
321,AGE AGEING,0002-0729,6487,3.816,4.115,0.47,149,7.7,0.01237,1.246
322,AGEING RES REV,1568-1637,1965,5.953,6.549,1.439,41,4,0.00626,1.94
323,AGGRESSIVE BEHAV,0096-140X,2025,2.247,2.523,0.133,45,8.9,0.00363,0.88
324,AGING CELL,1474-9718,4134,5.705,6.415,1.485,130,4.5,0.01758,2.337
325,AGING CLIN EXP RES,1594-0667,1612,1.006,1.437,0.667,15,8,0.00285,0.417
326,AGING MALE,1368-5538,463,1.711,1.777,0.39,41,5.1,0.00086,0.354
327,AGING MENT HEALTH,1360-7863,2028,1.677,1.978,0.283,113,6,0.00562,0.644
328,AGING-US,1945-4589,1835,4.696,4.625,0.829,70,2.4,0.0098,1.455
329,AGR ECON-BLACKWELL,0169-5150,1284,1.03,1.349,0.154,65,7.7,0.00387,0.612
330,AGR ECOSYST ENVIRON,0167-8809,10733,2.859,3.673,0.53,266,7.2,0.02074,1.09
331,AGR FOOD SCI,1459-6067,363,0.793,0.938,0.389,36,6.7,0.00072,0.257
332,AGR FOREST ENTOMOL,1461-9555,862,1.467,1.856,0.277,47,6.3,0.00231,0.612
333,AGR FOREST METEOROL,0168-1923,10024,3.421,4.118,0.747,182,8.4,0.01918,1.388
334,AGR HIST,0002-1482,193,0.114,0.217,0.056,18,>10.0,0.00012,0.081
335,AGR HUM VALUES,0889-048X,790,1.355,1.658,0.105,38,7.4,0.00181,0.562
336,AGR SCI CHINA,1671-2927,754,0.527,0.939,,0,3.9,0.00258,0.23
337,AGR SYST,0308-521X,2915,2.504,2.837,0.518,85,8,0.00543,0.869
338,AGR WATER MANAGE,0378-3774,5581,2.203,2.552,0.408,184,6.3,0.01183,0.683
339,AGRARFORSCH SCHWEIZ+,1663-7852,34,0.169,0.169,0.162,68,,0.00006,0.026
340,AGREKON,0303-1853,104,0.327,,0,26,6,0.00024,
341,AGRIBUSINESS,0742-4477,382,0.763,0.806,0.062,32,7.9,0.00069,0.254
342,AGRO FOOD IND HI TEC,1722-6996,208,0.234,0.227,0.083,84,4.6,0.00048,0.048
343,AGROCHIMICA,0002-1857,182,0.31,0.342,,,>10.0,0.00026,0.093
344,AGROCIENCIA-MEXICO,1405-3195,333,0.312,0.383,0.015,66,6.2,0.0006,0.082
345,AGROFOREST SYST,0167-4366,2319,1.373,1.662,0.184,114,9.2,0.00262,0.383
346,AGRON J,0002-1962,9966,1.518,1.989,0.312,192,>10.0,0.01056,0.574
347,AGRON SUSTAIN DEV,1774-0746,992,3.573,3.219,0.581,62,3.3,0.00412,0.903
348,AI COMMUN,0921-7126,249,0.449,0.617,0.333,30,9.3,0.0008,0.399
349,AI EDAM,0890-0604,348,0.407,0.935,0,23,8.6,0.00107,0.494
350,AI MAG,0738-4602,691,0.726,0.959,0.057,35,>10.0,0.00178,0.687
351,AIAA J,0001-1452,10686,1.08,1.301,0.164,256,>10.0,0.01611,0.645
352,AICHE J,0001-1541,17046,2.493,2.544,0.607,338,>10.0,0.01903,0.768
353,AIDS,0269-9370,23034,6.407,6.131,1.679,265,6.2,0.06831,2.216
354,AIDS PATIENT CARE ST,1087-2914,2432,3.09,2.899,0.595,84,5,0.00805,0.911
355,AIDS RES HUM RETROV,0889-2229,5472,2.705,2.372,0.656,247,7.4,0.01203,0.753
356,AIDS REV,1139-6121,689,4.075,3.951,0.958,24,4.8,0.00233,1.29
357,AIP ADV,2158-3226,474,1.349,1.349,0.354,379,1.3,0.0026,0.589
358,AIR QUAL ATMOS HLTH,1873-9318,176,1.979,1.8,0.433,30,2.6,0.00103,0.65
359,AIRCR ENG AEROSP TEC,1748-8842,180,0.441,0.348,0.023,43,6.9,0.00041,0.112
360,AJAR-AFR J AIDS RES,1608-5906,185,0.262,0.502,0.083,36,5.2,0.00044,0.122
361,AKTUEL NEUROL,0302-4350,115,0.32,0.183,0.129,62,3.6,0.00017,0.026
362,AKTUEL RHEUMATOL,0341-051X,67,0.097,0.142,0,34,,0.00004,0.011
363,AKTUEL UROL,0001-7868,126,0.474,0.3,0.089,45,5.4,0.0002,0.054
364,ALCHERINGA,0311-5518,496,1.171,1.074,0.273,44,>10.0,0.00077,0.322
365,ALCOHOL,0741-8329,2619,2.255,2.522,0.301,83,8.6,0.00412,0.701
366,ALCOHOL ALCOHOLISM,0735-0414,3602,1.956,2.682,0.346,104,8,0.0068,0.833
367,ALCOHOL CLIN EXP RES,0145-6008,12589,3.421,3.621,0.635,249,8.2,0.02179,1.031
368,ALEA-LAT AM J PROBAB,1980-0436,91,0.564,,,,,0.00168,
369,ALGEBR COLLOQ,1005-3867,322,0.308,0.349,0.096,94,7.3,0.0017,0.265
370,ALGEBR GEOM TOPOL,1472-2739,595,0.682,0.691,0.043,92,5.9,0.0078,1.028
371,ALGEBR LOG+,0002-5232,564,0.493,0.603,0.049,41,>10.0,0.00178,0.585
372,ALGEBR NUMBER THEORY,1937-0652,142,0.625,0.859,0.038,53,3.7,0.00381,1.334
373,ALGEBR REPRESENT TH,1386-923X,235,0.554,0.561,0.107,56,6.1,0.00221,0.643
374,ALGEBR UNIV,0002-5240,512,0.446,0.437,0.042,48,>10.0,0.00214,0.415
375,ALGORITHM MOL BIOL,1748-7188,247,1.606,1.771,0.156,32,3.6,0.00153,0.8
376,ALGORITHMICA,0178-4617,1408,0.488,0.753,0.148,128,>10.0,0.00621,0.741
377,ALIMENT PHARM THER,0269-2813,13426,4.548,4.172,1.855,283,6.2,0.0302,1.224
378,ALLELOPATHY J,0971-4693,398,0.685,0.623,0.182,55,5.1,0.00078,0.112
379,ALLERGOL IMMUNOPATH,0301-0546,582,1.229,1.156,0.353,51,5.6,0.00137,0.312
380,ALLERGOLOGIE,0344-5062,210,0.336,0.277,0.288,59,6.6,0.00017,0.034
381,ALLERGY,0105-4538,12173,5.883,5.983,1.58,193,6,0.02783,1.629
382,ALLERGY ASTHMA IMMUN,2092-7355,229,2.653,2.513,0.51,49,1.8,0.00086,0.612
383,ALLERGY ASTHMA PROC,1088-5412,1201,2.193,1.623,0.773,75,4.5,0.00334,0.413
384,ALLG FORST JAGDZTG,0002-5852,200,0.239,0.295,0,23,10,0.0002,0.09
385,ALPINE BOT,1664-2201,28,1.769,1.769,0.455,11,,0.00012,0.509
386,ALTERN MED REV,1089-5159,1288,4.857,5.034,0.5,6,8.7,0.00185,1.211
387,ALTEX-ALTERN ANIM EX,1868-596X,455,4.093,1.942,0.69,29,3.6,0.00088,0.327
388,ALZ DIS ASSOC DIS,0893-0341,2461,2.728,3.29,0.509,57,6.9,0.0051,1.029
389,ALZHEIMERS DEMENT,1552-5260,2907,14.483,8.672,2.21,62,2.3,0.01395,2.635
390,ALZHEIMERS RES THER,1758-9193,234,4.39,4.565,0.632,38,2.1,0.00128,1.583
391,AM BEE J,0002-7626,373,0.09,0.1,0.031,130,>10.0,0.00035,0.035
392,AM BIOL TEACH,0002-7685,518,0.39,0.396,0.246,57,>10.0,0.00051,0.11
393,AM FAM PHYSICIAN,0002-838X,4152,1.611,1.888,0.41,100,8.4,0.00602,0.533
394,AM FERN J,0002-8444,353,0.404,0.5,0,20,>10.0,0.00031,0.144
395,AM HEART J,0002-8703,20000,4.497,4.559,0.843,249,7.8,0.05271,1.86
396,AM J AGR ECON,0002-9092,4462,0.99,1.507,0.263,99,>10.0,0.00759,0.799
397,AM J ALZHEIMERS DIS,1533-3175,953,1.518,,0.197,71,5.3,0.00262,
398,AM J AUDIOL,1059-0889,326,0.865,,0.257,35,7.1,0.00089,
399,AM J BIOETHICS,1526-5161,1274,3.597,3.766,4.482,56,3.8,0.00407,1.327
400,AM J BOT,0002-9122,14538,2.586,3.106,0.556,322,>10.0,0.02056,1.085
401,AM J CARDIOL,0002-9149,34877,3.209,3.408,0.721,594,8.8,0.07036,1.233
402,AM J CARDIOVASC DRUG,1175-3277,708,2.069,1.872,0.487,39,5.2,0.00192,0.519
403,AM J CHINESE MED,0192-415X,2014,2.281,1.969,0.229,96,6.3,0.00238,0.283
404,AM J CLIN DERMATOL,1175-0561,1362,1.844,1.93,0.306,36,7.7,0.00295,0.619
405,AM J CLIN NUTR,0002-9165,48233,6.504,7.196,1.2,325,8.6,0.08798,2.298
406,AM J CLIN ONCOL-CANC,0277-3732,3213,2.552,2.246,0.44,100,8,0.00692,0.747
407,AM J CLIN PATHOL,0002-9173,10210,2.881,2.885,0.478,203,9.9,0.01633,0.901
408,AM J CRIT CARE,1062-3264,1541,1.413,1.888,0.473,55,7.4,0.00278,0.539
409,AM J DENT,0894-8275,1633,1.057,1.372,0.13,69,9.1,0.00245,0.377
410,AM J DERMATOPATH,0193-1091,2683,1.418,1.428,0.267,146,8.8,0.00515,0.439
411,AM J EMERG MED,0735-6757,4341,1.704,1.958,0.234,466,6.9,0.00988,0.595
412,AM J ENOL VITICULT,0002-9254,4703,1.856,2.267,0.309,68,>10.0,0.00353,0.618
413,AM J EPIDEMIOL,0002-9262,32938,4.78,5.91,1.223,256,>10.0,0.06502,2.436
414,AM J FOREN MED PATH,0195-7910,1506,0.883,0.986,0.074,108,>10.0,0.0023,0.298
415,AM J GASTROENTEROL,0002-9270,27521,7.553,7.019,2.074,188,7.5,0.05941,2.294
416,AM J GERIAT PSYCHIAT,1064-7481,4663,4.131,4.295,1.131,107,5.6,0.01385,1.428
417,AM J GERIATR PHARMAC,1543-5946,818,2.627,,0.538,39,4.9,0.00259,
418,AM J HEALTH-SYST PH,1079-2082,3749,1.984,2.051,0.552,154,5.8,0.00857,0.534
419,AM J HEMATOL,0361-8609,5813,4.003,3.234,0.754,252,6.6,0.01562,1.127
420,AM J HOSP PALLIAT ME,1049-9091,896,1.233,,0.318,88,5.1,0.00258,
421,AM J HUM BIOL,1042-0533,2421,2.335,2.389,0.486,111,6.1,0.00645,0.773
422,AM J HUM GENET,0002-9297,34687,11.202,12.512,2.188,223,8.6,0.09932,5.987
423,AM J HYPERTENS,0895-7061,7882,3.665,3.209,0.639,180,7.7,0.01615,0.981
424,AM J IND MED,0271-3586,4896,1.973,2.118,0.471,119,>10.0,0.0064,0.682
425,AM J INFECT CONTROL,0196-6553,4814,2.731,3.246,0.475,238,5.9,0.01453,1.157
426,AM J KIDNEY DIS,0272-6386,19101,5.294,5.417,1.724,199,8.6,0.0387,1.933
427,AM J MANAG CARE,1088-0224,3007,2.117,2.738,0.366,131,5.5,0.01229,1.223
428,AM J MATH,0002-9327,3743,1.35,1.413,,,>10.0,0.01074,2.43
429,AM J MED,0002-9343,22724,4.768,4.957,1.329,173,>10.0,0.03004,1.803
430,AM J MED GENET A,1552-4825,7811,2.304,2.333,0.257,421,5.3,0.02807,0.843
431,AM J MED GENET B,1552-4841,4452,3.231,3.395,0.667,108,4.9,0.01606,1.123
432,AM J MED GENET C,1552-4868,1268,4.44,4.098,0.733,30,5,0.00502,1.565
433,AM J MED QUAL,1062-8606,811,1.471,1.791,0.362,58,5.5,0.00308,0.747
434,AM J MED SCI,0002-9629,3944,1.334,1.32,0.374,198,9.9,0.00706,0.412
435,AM J NEPHROL,0250-8095,3319,2.623,2.697,0.357,140,5.7,0.00942,0.856
436,AM J NEURORADIOL,0195-6108,17318,3.167,3.566,0.594,350,7.6,0.03531,1.112
437,AM J NURS,0002-936X,1179,1.389,1.277,0.333,54,7.3,0.00202,0.354
438,AM J OBSTET GYNECOL,0002-9378,33759,3.877,3.821,1.177,351,>10.0,0.05172,1.236
439,AM J OPHTHALMOL,0002-9394,19058,3.631,4.292,0.936,265,8.9,0.03945,1.593
440,AM J ORTHOD DENTOFAC,0889-5406,8906,1.458,1.887,0.243,189,>10.0,0.01312,0.571
441,AM J ORTHOPSYCHIAT,0002-9432,2608,1.6,2.229,0.117,60,>10.0,0.00394,0.805
442,AM J OTOLARYNG,0196-0709,1823,1.228,1.243,0.192,156,8.7,0.0034,0.393
443,AM J PATHOL,0002-9440,38905,4.522,5.327,0.899,436,9.4,0.07599,1.888
444,AM J PERINAT,0735-1631,1904,1.574,1.424,0.299,117,7.2,0.00445,0.441
445,AM J PHYS,0002-9505,5511,0.782,0.867,0.197,132,>10.0,0.00514,0.347
446,AM J PHYS ANTHROPOL,0002-9483,9359,2.481,2.851,0.69,187,>10.0,0.01317,0.886
447,AM J PHYS MED REHAB,0894-9115,3804,1.731,1.939,0.358,120,8.4,0.00632,0.581
448,AM J PHYSIOL-CELL PH,0363-6143,17400,3.711,3.98,0.968,282,7.6,0.03836,1.33
449,AM J PHYSIOL-ENDOC M,0193-1849,18506,4.514,4.828,0.683,306,7.2,0.04512,1.647
450,AM J PHYSIOL-GASTR L,0193-1857,13427,3.649,3.622,0.563,286,7.3,0.02871,1.147
451,AM J PHYSIOL-HEART C,0363-6135,32717,3.629,3.855,0.717,400,8.1,0.06123,1.214
452,AM J PHYSIOL-LUNG C,1040-0605,13277,3.523,4.187,0.652,233,7.4,0.02785,1.348
453,AM J PHYSIOL-REG I,0363-6119,20652,3.284,3.304,0.645,279,8.4,0.03995,1.067
454,AM J PHYSIOL-RENAL,1931-857X,17281,3.612,3.894,0.789,346,7.2,0.03697,1.194
455,AM J POTATO RES,1099-209X,719,1.086,1.228,0.157,51,7.1,0.00143,0.331
456,AM J PREV MED,0749-3797,13318,3.945,5.249,2.254,240,6,0.03971,1.942
457,AM J PRIMATOL,0275-2565,3690,2.459,2.419,0.617,107,7.9,0.00729,0.713
458,AM J PSYCHIAT,0002-953X,42730,14.721,14.396,2.574,108,>10.0,0.06283,5.538
459,AM J PUBLIC HEALTH,0090-0036,26101,3.93,4.826,0.89,300,9.7,0.05124,1.952
460,AM J REPROD IMMUNOL,1046-7408,3251,3.317,2.839,0.5,124,6,0.00672,0.7
461,AM J RESP CELL MOL,1044-1549,10561,4.148,4.294,0.86,193,7.7,0.02392,1.481
462,AM J RESP CRIT CARE,1073-449X,49712,11.041,10.919,2.705,264,8.7,0.10229,3.883
463,AM J RHINOL ALLERGY,1945-8924,2463,1.744,2.061,0.108,111,5.4,0.00543,0.47
464,AM J ROENTGENOL,0361-803X,27900,2.897,3.252,0.39,531,9,0.05183,1.002
465,AM J SCI,0002-9599,6143,3.6,4.563,0.391,23,>10.0,0.00637,1.985
466,AM J SPEECH-LANG PAT,1058-0360,1102,2.448,2.897,0.227,44,7.7,0.00231,0.902
467,AM J SPORT MED,0363-5465,18067,4.439,4.937,0.582,318,7.7,0.03813,1.57
468,AM J SURG,0002-9610,15093,2.516,2.727,0.319,285,>10.0,0.02331,0.904
469,AM J SURG PATHOL,0147-5185,16422,4.868,4.857,0.798,223,8.6,0.03068,1.539
470,AM J THER,1075-2765,1202,1.29,,0.314,86,6,0.00308,
471,AM J TRANSPLANT,1600-6135,16088,6.192,6.014,1.506,348,4.9,0.05501,1.97
472,AM J TROP MED HYG,0002-9637,18365,2.534,2.896,0.684,364,9.2,0.03093,0.9
473,AM J VET RES,0002-9645,9392,1.348,1.614,0.193,254,>10.0,0.00743,0.425
474,AM LAB,0044-7749,280,0.112,0.185,0.048,62,>10.0,0.00046,0.063
475,AM MALACOL BULL,0740-2783,327,1,0.867,0.375,32,>10.0,0.00058,0.274
476,AM MATH MON,0002-9890,2244,0.292,0.347,0.078,77,>10.0,0.00273,0.365
477,AM MIDL NAT,0003-0031,3437,0.667,0.818,0.13,69,>10.0,0.002,0.301
478,AM MINERAL,0003-004X,13052,2.204,2.23,0.451,215,>10.0,0.01673,0.891
479,AM MUS NOVIT,0003-0082,2011,1.685,1.699,0.484,31,>10.0,0.00186,0.579
480,AM NAT,0003-0147,25716,4.552,5.332,0.769,156,>10.0,0.03839,2.385
481,AM SCI,0003-0996,1707,0.829,0.807,0.256,43,>10.0,0.00166,0.448
482,AM STAT,0003-1305,3244,0.976,1.193,0.167,30,>10.0,0.00353,0.846
483,AM SURGEON,0003-1348,5464,0.918,1.165,,,9.7,0.0095,0.401
484,AMA-AGR MECH ASIA AF,0084-5841,90,0.062,0.073,0,49,,0.00007,0.013
485,AMBIO,0044-7447,4211,2.295,3.248,0.952,104,9.5,0.00816,1.227
486,AMBIX,0002-6980,106,0.417,,0,12,>10.0,0.00043,
487,AMEGHINIANA,0002-7014,1128,0.866,1.223,0.353,17,>10.0,0.00155,0.402
488,AMINO ACIDS,0939-4451,5841,3.914,3.742,0.638,458,3.6,0.01567,0.843
489,AMPHIBIA-REPTILIA,0173-5373,1070,0.68,1.074,0.135,52,8.5,0.00186,0.326
490,AMYLOID,1350-6129,1038,4.436,2.898,0.254,63,7,0.00222,0.863
491,AMYOTROPH LATERAL SC,1748-2968,1822,2.369,2.925,0.543,92,4.5,0.00538,0.822
492,AN ACAD BRAS CIENC,0001-3765,1383,0.851,1.149,0.15,80,8.8,0.00225,0.318
493,AN BRAS DERMATOL,0365-0596,656,0.618,,0.115,122,4.6,0.00117,
494,AN JARDIN BOT MADRID,0211-1322,266,0.344,,0,18,>10.0,0.00049,
495,AN PEDIATR,1695-4033,694,0.867,0.659,0.264,91,4.8,0.00156,0.138
496,AN PSICOL-SPAIN,0212-9728,294,0.552,0.594,0.128,109,5.2,0.00039,0.085
497,AN SIST SANIT NAVAR,1137-6627,151,0.351,0.248,0.062,32,5.7,0.00027,0.048
498,AN STI U OVID CO-MAT,1224-1784,39,0.221,,0.05,60,,0.00024,
499,AN STIINT U AL I-MAT,1221-8421,31,0.188,,0.033,30,,0.00028,
500,ANADOLU KARDIYOL DER,1302-8723,466,0.715,0.579,0.353,102,3.4,0.00118,0.115
501,ANADOLU PSIKIYATR DE,1302-6631,124,0.184,,0,36,6.4,0.00017,
502,ANAEROBE,1075-9964,1489,2.022,2.327,0.375,104,4.5,0.00437,0.685
503,ANAESTH INTENS CARE,0310-057X,2189,1.396,1.358,0.553,114,7.1,0.0049,0.41
504,ANAESTHESIA,0003-2409,6605,3.486,2.733,2.331,139,8.1,0.01021,0.667
505,ANAESTHESIST,0003-2417,1101,0.847,0.773,0.182,110,6.9,0.0018,0.169
506,ANAL APPL,0219-5305,207,0.978,1.295,0,21,5,0.00203,1.104
507,ANAL BIOANAL CHEM,1618-2642,21971,3.659,3.756,0.727,877,4.3,0.06846,0.997
508,ANAL BIOCHEM,0003-2697,39746,2.582,2.969,0.558,441,>10.0,0.0321,0.853
509,ANAL CELL PATHOL,2210-7177,305,1.771,1.771,0.342,38,>10.0,0.00044,0.526
510,ANAL CHEM,0003-2700,96794,5.695,5.769,0.948,1479,7.8,0.17236,1.533
511,ANAL CHIM ACTA,0003-2670,39448,4.387,4.344,0.684,727,7.1,0.06585,1.038
512,ANAL LETT,0003-2719,3224,0.965,1.01,0.148,236,7.9,0.0047,0.222
513,ANAL MATH,0133-3852,138,0.333,,0,17,>10.0,0.0004,
514,ANAL METHODS-UK,1759-9660,1489,1.855,1.854,0.28,644,1.9,0.00525,0.424
515,ANAL PDE,1948-206X,77,1.257,1.267,0.042,24,,0.00204,1.942
516,ANAL QUANT CYTOL,0884-6812,570,0.6,0.77,0.105,38,9.5,0.00081,0.208
517,ANAL SCI,0910-6340,4724,1.569,1.511,0.223,193,7.6,0.00763,0.362
518,ANALOG INTEGR CIRC S,0925-1030,814,0.553,0.567,0.038,261,6.6,0.0016,0.146
519,ANALYST,0003-2654,16152,3.969,3.904,0.785,817,6.6,0.03135,0.985
520,ANASTH INTENSIV NOTF,0939-2661,309,0.388,0.265,0.072,69,8.1,0.00042,0.053
521,ANASTH INTENSIVMED,0170-5334,235,0.5,0.473,0.333,39,3.9,0.00049,0.088
522,ANAT HISTOL EMBRYOL,0340-2096,768,0.882,0.835,0.081,62,7.5,0.00127,0.199
523,ANAT REC,1932-8486,7324,1.343,1.632,0.341,208,>10.0,0.00792,0.492
524,ANAT SCI INT,1447-6959,317,0.625,0.882,0.097,31,5.8,0.00095,0.292
525,ANDEAN GEOL,0718-7106,102,1.375,1.621,0.286,28,2.6,0.00056,0.547
526,ANDROLOGIA,0303-4569,1463,1.748,1.902,0.295,193,7.7,0.00216,0.403
527,ANESTH ANALG,0003-2999,20930,3.3,3.233,1.01,301,8.1,0.03723,0.905
528,ANESTHESIOLOGY,0003-3022,22547,5.163,5.302,1.959,219,9.3,0.03515,1.587
529,ANGEW CHEM INT EDIT,1433-7851,229894,13.734,13.56,2.959,2227,5.5,0.53637,3.497
530,ANGIOGENESIS,0969-6970,1718,3.972,,0.877,57,5.3,0.00512,
531,ANGIOLOGY,0003-3197,2073,1.647,1.233,0.593,86,9.8,0.00301,0.305
532,ANGLE ORTHOD,0003-3219,3702,1.184,1.428,0.142,155,9,0.00722,0.511
533,ANIM BEHAV,0003-3472,21716,3.068,3.405,0.616,354,>10.0,0.03222,1.107
534,ANIM BIODIV CONSERV,1578-665X,137,0.196,,0,41,7.8,0.0002,
535,ANIM BIOL,1570-7555,296,0.767,0.827,0.176,34,6.2,0.00085,0.298
536,ANIM BIOTECHNOL,1049-5398,330,0.882,0.906,0.074,27,7.2,0.00055,0.227
537,ANIM CELLS SYST,1976-8354,106,0.639,0.525,0.145,62,2.7,0.00025,0.077
538,ANIM COGN,1435-9448,1820,2.713,3.04,0.457,116,4.4,0.00594,0.904
539,ANIM CONSERV,1367-9430,2047,2.692,3.221,0.848,79,5.9,0.00588,1.107
540,ANIM FEED SCI TECH,0377-8401,6366,1.608,2.156,0.278,194,8,0.00939,0.517
541,ANIM GENET,0268-9146,3284,2.584,2.667,0.359,128,6.4,0.00613,0.636
542,ANIM NUTR FEED TECHN,0972-2963,78,0.355,0.309,0.034,29,,0.00016,0.058
543,ANIM PROD SCI,1836-0939,541,1.218,1.228,0.286,154,2.4,0.00208,0.293
544,ANIM REPROD SCI,0378-4320,5803,1.897,1.943,0.156,180,7.3,0.00909,0.423
545,ANIM SCI J,1344-3941,737,1.037,0.95,0.202,114,4.4,0.00209,0.238
546,ANIM SCI PAP REP,0860-4037,306,0.918,0.867,0.083,36,6,0.00051,0.169
547,ANIM WELFARE,0962-7286,1248,1.433,1.668,0.263,99,7.2,0.00232,0.414
548,ANIMAL,1751-7311,1894,1.648,1.761,0.392,227,3.3,0.00888,0.497
549,ANKARA UNIV VET FAK,1300-0861,152,0.152,0.189,0.075,53,>10.0,0.00018,0.042
550,ANN ACAD MED SINGAP,0304-4602,2193,1.362,1.452,0.474,57,7,0.00452,0.41
551,ANN ACAD SCI FENN-M,1239-629X,740,0.602,0.747,0,46,>10.0,0.00279,0.803
552,ANN AGR ENV MED,1232-1966,1177,3.06,2.283,0.31,142,5.4,0.0014,0.3
553,ANN ALLERG ASTHMA IM,1081-1206,5372,3.449,2.776,0.428,145,7.1,0.0112,0.825
554,ANN ANAT,0940-9602,1160,1.96,1.732,0.456,79,6,0.00275,0.501
555,ANN ANIM SCI,1642-3402,135,0.42,0.323,0.019,53,5.5,0.0002,0.05
556,ANN APPL BIOL,0003-4746,3678,2.147,2.26,0.317,60,>10.0,0.00422,0.614
557,ANN APPL PROBAB,1050-5164,1850,1.372,1.461,0.293,75,8.7,0.01081,1.662
558,ANN APPL STAT,1932-6157,1074,2.237,2.895,0.275,80,3.5,0.01541,2.434
559,ANN BIOL CLIN-PARIS,0003-3898,469,0.298,0.332,0.039,77,9.2,0.00059,0.078
560,ANN BIOMED ENG,0090-6964,6715,2.575,2.553,0.731,216,6.5,0.01662,0.83
561,ANN BOT FENN,0003-3847,788,0.657,0.625,0.167,66,9.7,0.0013,0.21
562,ANN BOT-LONDON,0305-7364,14232,3.449,4.051,0.865,260,8,0.026,1.238
563,ANN CARDIOL ANGEIOL,0003-3928,198,0.295,0.239,0.024,82,6.9,0.00031,0.052
564,ANN CARNEGIE MUS,0097-4463,341,0.652,0.811,0,11,>10.0,0.00035,0.271
565,ANN CHIM-SCI MAT,0151-9107,499,0.096,0.128,0,5,>10.0,0.0001,0.035
566,ANN CHIR PLAST ESTH,0294-1260,527,0.322,0.426,0.047,86,10,0.00066,0.106
567,ANN CLIN BIOCHEM,0004-5632,2326,1.922,1.991,0.511,90,8.2,0.00459,0.571
568,ANN CLIN LAB SCI,0091-7370,1063,0.879,1.167,0.179,56,8.6,0.00182,0.36
